,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
506,506,"Apartamento T3 em Arroios, Lisboa",570.000 €,3 quartos,Área bruta 123 m²,"38,7199764","-9,136906",Arroios,Rés do chão
507,507,"Apartamento T4 em Avenidas Novas, Lisboa",2.975.000 €,4 quartos,Área bruta 238 m²,"38,74049","-9,150863",Avenidas Novas,"De luxo, Com elevador"
508,508,"Apartamento T1 em Travessa da Palmeira, Misericórdia, Lisboa",580.000 €,1 quarto,Área bruta 53 m²,"38,7141","-9,15037",Misericórdia,Com elevador
509,509,"Apartamento T2+1 em Estrela, Lisboa",860.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
510,510,"Apartamento T2+1 em Estrela, Lisboa",950.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
511,511,"Apartamento T1 em Estrela, Lisboa",510.000 €,1 quarto,Área bruta 56 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
512,512,"Apartamento T2+1 em Estrela, Lisboa",810.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
513,513,"Apartamento T1 em Avenidas Novas, Lisboa",437.000 €,1 quarto,Área bruta 53 m²,"38,7372473412","-9,1591536999",Avenidas Novas,Com elevador
514,514,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",950.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
515,515,"Apartamento T2+1 na Rua das Laranjeiras, São Domingos de Benfica, Lisboa",419.900 €,2 quartos,Área bruta 50 m²,"38,74677","-9,169",São Domingos de Benfica, 
516,516,"Apartamento T1 na Avenida Infante Santo, Estrela, Lisboa",540.000 €,1 quarto,Área bruta 56 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
517,517,"Apartamento T3 em Parque das Nações, Lisboa",2.200.000 €,3 quartos,Área bruta 162 m²,"38,7616845","-9,0980778",Parque das Nações,"De luxo, Com elevador, Com garagem"
518,518,"Apartamento T0 na Rua Prior do Crato, Estrela, Lisboa",335.000 €,Área bruta 56 m²,C.E.: B,"38,70619","-9,17364",Estrela,Com elevador
519,519,"Apartamento T1 em Estrela, Lisboa",530.000 €,1 quarto,Área bruta 56 m²,"38,709107","-9,166792",Estrela,"Piscina, Último andar, Com elevador, Com garagem"
520,520,"Apartamento T2 na Avenida Dom João II, Parque das Nações, Lisboa",650.000 €,2 quartos,Área bruta 118 m²,"38,77093","-9,09819",Parque das Nações,"Com elevador, Com garagem"
521,521,"Apartamento T4 na Rua Dom Jorge da Costa, Belém, Lisboa",2.425.000 €,4 quartos,Área bruta 281 m²,"38,71051","-9,20843",Belém,De luxo
522,522,"Apartamento T4 na Rua Sarmento de Beires, Areeiro, Lisboa",890.000 €,4 quartos,Área útil 226 m²,"38,7430406","-9,1295608",Areeiro,"Com elevador, Com garagem"
523,523,"Apartamento T1 em Santa Maria Maior, Lisboa",179.900 €,1 quarto,Área bruta 43 m²,"38,7156090324","-9,1326705219",Santa Maria Maior, 
524,524,"Apartamento T3 em Avenidas Novas, Lisboa",1.320.000 €,3 quartos,Área bruta 121 m²,"38,74052","-9,14882",Avenidas Novas,"Com elevador, Com garagem"
525,525,"Apartamento T1 na Rua Abade Faria, Areeiro, Lisboa",149.900 €,1 quarto,Área bruta 28 m²,"38,74079","-9,13098",Areeiro, 
526,526,"Apartamento T2 em São Vicente, Lisboa",315.000 €,2 quartos,Área bruta 50 m²,"38,7206496","-9,1243871",São Vicente, 
527,527,"Apartamento T1 em Estrada de Benfica, São Domingos de Benfica, Lisboa",279.900 €,1 quarto,Área bruta 38 m²,"38,74487","-9,17992",São Domingos de Benfica,"Com elevador, Com garagem"
528,528,"Apartamento T1 na Rua Passos Manuel, Arroios, Lisboa",339.500 €,1 quarto,Área bruta 54 m²,"38,73121","-9,13677",Arroios,Com elevador
529,529,"Apartamento T3 em Alcântara, Lisboa",2.500.000 €,3 quartos,Área bruta 179 m²,"38,6984420834","-9,1867176989",Alcântara,"De luxo, Com elevador"
530,530,"Loft T1 em Misericórdia, Lisboa",830.000 €,1 quarto,Área bruta 143 m²,"38,7108727","-9,147001",Misericórdia,Com garagem
531,531,"Apartamento T3 na Avenida de Madrid, Areeiro, Lisboa",895.000 €,3 quartos,Área bruta 143 m²,"38,7435997","-9,1348541",Areeiro,Com elevador
532,532,"Apartamento T1 em São Vicente, Lisboa",295.000 €,1 quarto,Área bruta 38 m²,"38,717289","-9,119668",São Vicente, 
533,533,"Apartamento T3 na Rua Engenheiro Ferry Borges, Carnide, Lisboa",529.000 €,3 quartos,Área bruta 135 m²,"38,76824","-9,18508",Carnide,"Com elevador, Com garagem"
534,534,"Apartamento T2 em São Vicente, Lisboa",450.000 €,2 quartos,Área bruta 76 m²,"38,7176844","-9,125231",São Vicente,Com elevador
535,535,"Moradia T10 em Areeiro, Lisboa",5.000.000 €,10 quartos,Área bruta 422 m²,"38,7415352","-9,126168",Areeiro,De luxo
536,536,"Apartamento T1 em São Vicente, Lisboa",280.000 €,1 quarto,Área bruta 50 m²,"38,7206496","-9,1243871",São Vicente, 
537,537,"Apartamento T2 na Rua António Nobre, São Domingos de Benfica, Lisboa",349.900 €,2 quartos,Área bruta 67 m²,"38,74657","-9,17989",São Domingos de Benfica,Rés do chão
538,538,"Apartamento T1 na Rua dos Arneiros, Benfica, Lisboa",269.900 €,1 quarto,Área bruta 31 m²,"38,75171","-9,2009",Benfica, 
539,539,"Apartamento T3 em Alcântara, Lisboa",2.500.000 €,3 quartos,Área bruta 179 m²,"38,6984420834","-9,1867176989",Alcântara,"De luxo, Com elevador"
540,540,"Apartamento T1 em Alcântara, Lisboa",865.000 €,1 quarto,Área bruta 76 m²,"38,6984420834","-9,1867176989",Alcântara,Com elevador
541,541,"Apartamento T3 em Penha de França, Lisboa",399.000 €,3 quartos,Área bruta 95 m²,"38,7298766","-9,1300448",Penha de França, 
542,542,"Apartamento T2 em São Vicente, Lisboa",299.000 €,2 quartos,Área bruta 50 m²,"38,7206496","-9,1243871",São Vicente, 
543,543,"Apartamento T1 em São Vicente, Lisboa",250.000 €,1 quarto,Área bruta 58 m²,"38,7206496","-9,1243871",São Vicente, 
544,544,"Apartamento T4 em Santo António, Lisboa",3.225.000 €,4 quartos,Área bruta 346 m²,"38,7185488","-9,1541898",Santo António,"Piscina, Com elevador, Com garagem"
545,545,"Apartamento T2 em Largo do Terreiro do Trigo, Santa Maria Maior, Lisboa",710.000 €,2 quartos,Área bruta 122 m²,"38,71433","-9,13237",Santa Maria Maior,Com elevador
546,546,"Apartamento T2 na Avenida da República, Avenidas Novas, Lisboa",790.000 €,2 quartos,Área bruta 100 m²,"38,74052","-9,14609",Avenidas Novas,"Piscina, Com elevador, Com garagem"
547,547,"Apartamento T3 em São Vicente, Lisboa",238.000 €,3 quartos,Área bruta 52 m²,"38,7172729","-9,1276921",São Vicente, 
548,548,"Apartamento T1 em Alcântara, Lisboa",895.000 €,1 quarto,Área bruta 80 m²,"38,6984420834","-9,1867176989",Alcântara,Com elevador
549,549,"Apartamento T4 em Santa Maria Maior, Lisboa",5.900.000 €,4 quartos,Área bruta 473 m²,"38,710859528","-9,1399693492",Santa Maria Maior,"Vista para mar, Com elevador, Com garagem"
550,550,"Apartamento T3 em Santa Maria Maior, Lisboa",999.500 €,3 quartos,Área bruta 140 m²,"38,711501","-9,137461",Santa Maria Maior,Com elevador
551,551,"Apartamento T2 em Calçada da Picheleira, Beato, Lisboa",185.000 €,2 quartos,Área bruta 46 m²,"38,7388284","-9,1197415",Beato, 
552,552,"Apartamento T3 na Rua Engenheiro Ferry Borges, Carnide, Lisboa",529.000 €,3 quartos,Área bruta 135 m²,"38,76824","-9,18508",Carnide,"Com elevador, Com garagem"
553,553,"Apartamento T2 Triplex em Estrela, Lisboa",1.180.000 €,2 quartos,Área bruta 125 m²,"38,709441","-9,159907",Estrela,Com elevador
