,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
517,517,"Apartamento T2 em Largo do Terreiro do Trigo, Santa Maria Maior, Lisboa",720.000 €,2 quartos,Área bruta 122 m²,"38,71433","-9,13237",Santa Maria Maior,Com elevador
518,518,"Apartamento T2 na Avenida da República, Avenidas Novas, Lisboa",790.000 €,2 quartos,Área bruta 100 m²,"38,74052","-9,14609",Avenidas Novas,"Piscina, Com elevador, Com garagem"
519,519,"Apartamento T2 na Rua António Nobre, São Domingos de Benfica, Lisboa",349.900 €,2 quartos,Área bruta 67 m²,"38,74657","-9,17989",São Domingos de Benfica,Rés do chão
520,520,"Apartamento T3 em Estrela, Lisboa",1.285.000 €,3 quartos,Área bruta 181 m²,"38,7045084","-9,1643561",Estrela,"Com elevador, Com garagem"
521,521,"Apartamento T4 na Rua Sarmento de Beires, Areeiro, Lisboa",890.000 €,4 quartos,Área útil 226 m²,"38,7430406","-9,1295608",Areeiro,"Com elevador, Com garagem"
522,522,"Apartamento T1 em São Vicente, Lisboa",295.000 €,1 quarto,Área bruta 38 m²,"38,717289","-9,119668",São Vicente, 
523,523,"Apartamento T2+1 na Rua do Conde de Redondo, Santo António, Lisboa",370.000 €,2 quartos,Área bruta 70 m²,"38,72534","-9,14625",Santo António, 
524,524,"Apartamento T1 na Rua Passos Manuel, Arroios, Lisboa",339.500 €,1 quarto,Área bruta 54 m²,"38,73121","-9,13677",Arroios,Com elevador
525,525,"Moradia T9 Duplex na Rua do Sítio Ao Casalinho da Ajuda, Ajuda, Lisboa",595.500 €,9 quartos,Área bruta 174 m²,"38,71128","-9,19281",Ajuda, 
526,526,"Apartamento T2 em Arroios, Lisboa",179.000 €,2 quartos,Área bruta 107 m²,"38,72332","-9,132392",Arroios, 
527,527,"Apartamento T2 em São Vicente, Lisboa",330.000 €,2 quartos,Área bruta 58 m²,"38,717688","-9,123875",São Vicente, 
528,528,"Apartamento T1 na Rua dos Arneiros, Benfica, Lisboa",269.900 €,1 quarto,Área bruta 31 m²,"38,75171","-9,2009",Benfica, 
529,529,"Apartamento T3 na Rua Engenheiro Ferry Borges, Carnide, Lisboa",529.000 €,3 quartos,Área bruta 135 m²,"38,76824","-9,18508",Carnide,"Com elevador, Com garagem"
530,530,"Apartamento T3 na Rua Engenheiro Ferry Borges, Carnide, Lisboa",529.000 €,3 quartos,Área bruta 135 m²,"38,76824","-9,18508",Carnide,"Com elevador, Com garagem"
531,531,"Apartamento T4 em Travessa Carlo Paggi, São Domingos de Benfica, Lisboa",1.050.000 €,4 quartos,Área bruta 250 m²,"38,74676","-9,18096",São Domingos de Benfica,"Com elevador, Com garagem"
532,532,"Apartamento T1 na Rua Abade Faria, Areeiro, Lisboa",149.900 €,1 quarto,Área bruta 28 m²,"38,74079","-9,13098",Areeiro, 
533,533,"Apartamento T1 na Rua Capitão Leitão, Marvila, Lisboa",235.000 €,1 quarto,Área útil 37 m²,"38,73914","-9,10519",Marvila, 
535,535,"Apartamento T2 Duplex em Misericórdia, Lisboa",750.000 €,2 quartos,Área bruta 120 m²,"38,710944","-9,1501852",Misericórdia,Com elevador
536,536,"Apartamento T6 em Avenidas Novas, Lisboa",2.735.040 €,6 quartos,Área bruta 559 m²,"38,7442776","-9,1598939",Avenidas Novas,"De luxo, Com elevador, Com garagem"
537,537,"Apartamento T2 em São Vicente, Lisboa",299.000 €,2 quartos,Área bruta 50 m²,"38,7206496","-9,1243871",São Vicente, 
538,538,"Apartamento T3 em Avenidas Novas, Lisboa",1.040.000 €,3 quartos,Área bruta 136 m²,"38,74052","-9,14882",Avenidas Novas,"Com elevador, Com garagem"
539,539,"Apartamento T2+1 na Rua António Nobre, São Domingos de Benfica, Lisboa",399.900 €,2 quartos,Área bruta 111 m²,"38,74657","-9,17989",São Domingos de Benfica, 
540,540,"Apartamento T2 em São Vicente, Lisboa",280.000 €,2 quartos,Área bruta 50 m²,"38,7206496","-9,1243871",São Vicente, 
541,541,"Apartamento T3 na Avenida de Madrid, Areeiro, Lisboa",895.000 €,3 quartos,Área bruta 143 m²,"38,7435997","-9,1348541",Areeiro,Com elevador
542,542,"Apartamento T1 na Rua Passos Manuel, Arroios, Lisboa",339.500 €,1 quarto,Área bruta 54 m²,"38,73121","-9,13677",Arroios,Com elevador
543,543,"Apartamento T2 em Arroios, Lisboa",270.000 €,2 quartos,Área bruta 107 m²,"38,72332","-9,132392",Arroios, 
544,544,"Moradia T10 em Areeiro, Lisboa",5.000.000 €,10 quartos,Área bruta 422 m²,"38,7415352","-9,126168",Areeiro,De luxo
