,Name,Area,GlobalID,geometry,Access,Stage
66,Escola Básica de Santa Clara,São Vicente,5129c9db-8636-41e0-9678-8c6365e93a25,POINT (-9.12533038352542 38.7151253343901),Private,First
67,Jardim de Infância de Belém,Belém,091ba577-6deb-49fb-b478-50eedd2e2935,POINT (-9.20429152179167 38.6992410916334),Private,First
68,Escola Básica Maria Barroso,Santa Maria Maior,4c91b84e-6748-498e-8d71-fa2282ff07c6,POINT (-9.13937934247054 38.7094681340088),Private,First
69,Jardim de Infância da Ameixoeira,Santa Clara,e258f338-e446-4b8e-8f20-0bc809bd7dde,POINT (-9.15895882511879 38.78071714369),Private,First
70,Jardim de Infância do Lumiar,Lumiar,628f9f1a-e25e-44dc-99f2-66097ad965cf,POINT (-9.16185565330509 38.7685134176058),Private,First
71,Escola Básica Professor José Salvado Sampaio,Benfica,08ad9917-b921-4a61-aafb-9c8abfdbdcd9,POINT (-9.2098065749094 38.7499880865529),Private,First
72,Escola Básica do Parque Silva Porto,Benfica,a4b6f7b8-e836-4c14-9512-64efacd26448,POINT (-9.20514427069021 38.7472533037233),Private,First
73,Escola Básica do Bairro de São Miguel,Alvalade,472a336c-34bc-45bc-8fef-fff252be8280,POINT (-9.14488722364118 38.7467023639056),Private,First
74,Escola Básica Santo António,Alvalade,d6e98ad5-dee1-43de-8600-531e6fb4645a,POINT (-9.14720636629289 38.7540729770689),Private,First
75,Escola Básica de Moinhos do Restelo,Belém,e4a48b8e-475c-4986-b00e-85e1a1fb8467,POINT (-9.20686826806514 38.7072835399369),Private,First
76,Escola Básica do Bairro do Restelo,Belém,fe4baed8-57a2-4dbb-a64e-f25198fc6897,POINT (-9.21775658689447 38.7014305796765),Private,First
77,Escola Básica Professor Manuel Sérgio,Ajuda,4903371d-18ad-4289-a8a9-5eaf0d6572e6,POINT (-9.20169760622567 38.7128248591273),Private,First
78,Escola Básica de Caselas,Belém,9b0c318e-edb7-4106-a0f9-123c4c34b402,POINT (-9.2139893210878 38.7145170326948),Private,First
